0,32
1000,32
2000,32
3000,64
4000,64
5000,64
6000,64
7000,64
8000,64
9000,64
10000,64
11000,64
12000,64
13000,64
14000,64
15000,64
16000,64
17000,64
18000,64
19000,64
20000,64
21000,64
22000,64
23000,64
24000,64
25000,64
26000,64
27000,64
28000,64
29000,64
30000,64
31000,64
32000,64
33000,64
34000,64
35000,64
36000,64
37000,64
38000,64
39000,64
40000,64
41000,64
42000,64
43000,64
44000,64
45000,64
46000,64
47000,64
48000,64
49000,64
50000,64
51000,64
52000,64
53000,64
54000,64
55000,64
56000,64
57000,64
58000,64
59000,64
60000,64
61000,64
62000,64
63000,64
64000,64
65000,64
66000,64
67000,64
68000,64
69000,64
70000,64
71000,64
72000,64
73000,64
74000,64
75000,64
76000,64
77000,64
78000,64
79000,64
80000,64
81000,64
82000,64
83000,64
84000,64
85000,64
86000,64
87000,64
88000,64
89000,64
90000,64
91000,64
92000,64
93000,64
94000,64
95000,64
96000,64
97000,64
98000,64
99000,64
